M1,beta,theta_c
1,90,0
1.0009854114198755,88.20281553784181,1.3940098705619628
1.0015139539932645,87.77331637706904,1.7264983122940865
1.0020679264063932,87.39876668416119,2.0162458648659958
1.0026485521685529,87.0574999157247,2.280103554126906
1.003257113655901,86.73848376655049,2.526658061207516
1.0038949549437313,86.43520026163766,2.7609876620751863
1.0045634847750124,86.14341834074246,2.986393852215762
1.0052641796717523,85.86020470089615,3.2051698911283584
1.0059985871960606,85.58342369319035,3.418990668544855
1.00676832936811,85.31146002542151,3.6291272101293224
1.0075751062485478,85.04305395109375,3.836575694066697
1.0084206996932672,84.77719785265654,4.042138183596276
1.0093069772888326,84.5130684574029,4.246474710865357
1.0102358964772515,84.24998078982036,4.450140101532854
1.011209508879202,83.98735594262448,4.653608380189202
1.012229964825262,83.72469794487553,4.857291799785597
1.0132995181051536,83.4615767999443,5.061553269553926
1.0144205309454866,83.19761581850561,5.266717385094614
1.0155954792269954,82.93248201028462,5.473077330285118
1.0168269579527973,82.6658786990336,5.68090113685612
1.0181176869797424,82.39753978322378,5.890436427966425
1.019470517025518,82.12722523577591,6.1019139230762045
1.0208884359647747,81.8547175504918,6.3155511048008215
1.0223745754281763,81.5798189233228,6.531553334713211
1.0239322177189534,81.30234901079619,6.750117652836259
1.0255648030622313,81.02214314859637,6.971432859811344
1.0272759372031495,80.73905094119779,7.195681798302327
1.0290693993705462,80.45293515491058,7.423042490942511
1.0309491506238042,80.16367086152495,7.653688523542537
1.0329193426012877,79.87114479266762,7.887790982998039
1.0349843266896945,79.57525487204752,8.125517781329771
1.037148663634574,79.27590990144051,8.367035660294366
1.0394171336132383,78.97302937989615,8.612509613379897
1.041794746792312,78.66654344098714,8.862103949275994
1.0442867543932386,78.35639289485627,9.115982992068451
1.0468986602901829,78.04252936577741,9.374309930858596
1.0496362331659463,77.72491551639943,9.637249169298423
1.0525055192527397,77.40352535281713,9.904964859877472
1.055512855685955,77.07834460463107,10.177621535758892
1.05866488450043,76.74937117621276,10.455385269681008
1.0619685673001151,76.4166156652301,10.738421517269556
1.0654312006335462,76.08010194567227,11.026897878148807
1.0690604321090769,75.73986781279689,11.320982035480766
1.0728642772854684,75.39596568760385,11.62084214616916
1.0768511373751353,75.04846337876134,11.92664811580009
1.0810298177991522,74.69744489986493,12.238568966178695
1.0854095476349994,74.3430113396389,12.556775535754623
1.09,73.98528178280621,12.881438108906844
1.1,73.25018824969557,13.560461294385505
1.12,71.93494137892323,14.820641844390416
1.14,70.78803506915717,15.975848062610917
1.16,69.77692035953578,17.047270389829162
1.18,68.87853089971729,18.04953947934733
1.2,68.07572880569303,18.993274835406073
1.23,67.0226370938254,20.31614910651607
1.26,66.12170262852057,21.54501238911113
1.29,65.34786780107046,22.694346695046228
1.32,64.68183573240698,23.77503371882952
1.35,64.10828678212411,24.795505243510416
1.38,63.61476259966401,25.762470888923897
1.41,63.19093482211599,26.68135995471505
1.44,62.82810726873138,27.5566560380801
1.47,62.5188660003852,28.392108180272103
1.5,62.25682634233771,29.190882811885906
1.6,61.65811557004821,31.620916683369675
1.7,61.37061567808667,33.747317327889384
1.8,61.28953626599259,35.62233415083169
1.9,61.34392848703342,37.28447669896445
2,61.485371643068866,38.76391345757847
2.5,62.647502257994425,44.156962574896916
3,63.76660293614252,47.435634168997424
3.5,64.6230664748481,49.55310184839314
4,65.2565827755678,50.99091995389628
4.5,65.72783991424693,52.00810603597505
5,66.08399727703352,52.752395812413084
10,67.33509985701285,55.23445170476544
100,67.78766859252086,56.0910607332139
10000,67.79234523358139,56.09981546072167
